timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1763344017773,0,POST/Token - /usuarios/login/-0,200,OK,FE - 20 RPS (Page Load) 2-3,text,true,,1130,0,20,65,null,0,0,0
1763344016147,1763,POST/Token - /usuarios/login/,200,,Capacita - 50 RPS 1-9,text,true,,669,224,45,65,http://localhost:8080/usuarios/login,1763,0,0
1763344016119,1810,POST/Token - /usuarios/login/,200,,Capacita - 50 RPS 1-5,text,true,,669,224,44,64,http://localhost:8080/usuarios/login,1809,0,23
1763344016120,1811,POST/Token - /usuarios/login/,200,,Capacita - 50 RPS 1-6,text,true,,669,224,43,63,http://localhost:8080/usuarios/login,1808,0,22
1763344016125,1865,POST/Token - /usuarios/login/,200,,Capacita - 50 RPS 1-8,text,true,,669,224,42,62,http://localhost:8080/usuarios/login,1865,0,18
1763344016979,1071,POST/Token - /usuarios/login/,200,,Capacita - 50 RPS 1-49,text,true,,669,224,41,61,http://localhost:8080/usuarios/login,1071,0,3
1763344016119,1968,POST/Token - /usuarios/login/,200,,Capacita - 50 RPS 1-7,text,true,,669,224,40,60,http://localhost:8080/usuarios/login,1968,0,23
1763344016193,1914,POST/Token - /usuarios/login/,200,,Capacita - 50 RPS 1-11,text,true,,669,224,39,59,http://localhost:8080/usuarios/login,1914,0,1
1763344016120,2109,POST/Token - /usuarios/login/,200,,Capacita - 50 RPS 1-1,text,true,,669,224,38,58,http://localhost:8080/usuarios/login,2109,0,29
1763344016467,1799,POST/Token - /usuarios/login/,200,,Capacita - 50 RPS 1-24,text,true,,669,224,37,57,http://localhost:8080/usuarios/login,1799,0,0
1763344016120,2160,POST/Token - /usuarios/login/,200,,FE - 20 RPS (Page Load) 2-1,text,true,,1799,224,20,56,http://localhost:8080/usuarios/login,2159,0,23
1763344018279,0,POST/Token - /usuarios/login/-0,200,OK,FE - 20 RPS (Page Load) 2-1,text,true,,1130,0,20,56,null,0,0,0
1763344016576,1757,POST/Token - /usuarios/login/,200,,Capacita - 50 RPS 1-29,text,true,,669,224,36,56,http://localhost:8080/usuarios/login,1757,0,0
1763344016353,2058,POST/Token - /usuarios/login/,200,,Capacita - 50 RPS 1-19,text,true,,669,224,35,55,http://localhost:8080/usuarios/login,2058,0,0
1763344016864,1570,POST/Token - /usuarios/login/,200,,Capacita - 50 RPS 1-44,text,true,,669,224,34,54,http://localhost:8080/usuarios/login,1570,0,0
1763344016928,1512,POST/Token - /usuarios/login/,200,,Capacita - 50 RPS 1-47,text,true,,669,224,33,53,http://localhost:8080/usuarios/login,1512,0,7
1763344016176,2283,POST/Token - /usuarios/login/,200,,FE - 20 RPS (Page Load) 2-4,text,true,,1799,224,20,52,http://localhost:8080/usuarios/login,2283,0,0
1763344018459,0,POST/Token - /usuarios/login/-0,200,OK,FE - 20 RPS (Page Load) 2-4,text,true,,1130,0,20,52,null,0,0,0
1763344016508,1956,POST/Token - /usuarios/login/,200,,Capacita - 50 RPS 1-26,text,true,,669,224,32,52,http://localhost:8080/usuarios/login,1956,0,0
1763344016291,2176,POST/Token - /usuarios/login/,200,,Capacita - 50 RPS 1-16,text,true,,669,224,31,51,http://localhost:8080/usuarios/login,2176,0,0
1763344016340,2158,POST/Token - /usuarios/login/,200,,FE - 20 RPS (Page Load) 2-7,text,true,,1799,224,20,50,http://localhost:8080/usuarios/login,2157,0,0
1763344018497,1,POST/Token - /usuarios/login/-0,200,OK,FE - 20 RPS (Page Load) 2-7,text,true,,1130,0,20,50,null,0,0,0
1763344016375,2131,POST/Token - /usuarios/login/,200,,Capacita - 50 RPS 1-20,text,true,,669,224,30,50,http://localhost:8080/usuarios/login,2131,0,6
1763344016660,1847,POST/Token - /usuarios/login/,200,,Capacita - 50 RPS 1-34,text,true,,669,224,29,49,http://localhost:8080/usuarios/login,1847,0,5
1763344016503,2014,POST/Token - /usuarios/login/,200,,FE - 20 RPS (Page Load) 2-10,text,true,,1800,224,20,48,http://localhost:8080/usuarios/login,2013,0,1
1763344018516,1,POST/Token - /usuarios/login/-0,200,OK,FE - 20 RPS (Page Load) 2-10,text,true,,1131,0,20,48,null,0,0,0
